TargetGene	chr	start	end	averageCorr	averageCorrWeighted	Nchunks	Ncelltypes
EPAS1	chr2	46297151	46297651	0.189322153776089	0.182276355505236	1133	121
EPB41	chr1	28886840	28887340	0.353331455307313	0.340725664470568	462	126
EPB41L1	chr20	36092459	36092959	0.118102632605383	0.123275087036294	431	94
EPB41L2	chr6	131063072	131063572	0.51548620154641	0.516407242515214	1163	128
EPB41L3	chr18	5544060	5544560	0.0483157200472559	0.0467978538877415	467	73
EPB41L4A	chr5	112419066	112419566	0.190082457924631	0.174153532136781	768	97
EPB41L4A-AS1	chr5	112160275	112160775	0.613443354878857	0.626181928493522	981	130
EPB41L4A-AS2	chr5	112419332	112419832	0.1842623165335	0.170606758736278	766	99
EPB41L4B	chr9	109320714	109321214	0.0244660476394463	0.0190345281156295	1054	72
EPB41L5	chr2	120012777	120013277	0.632067511321279	0.625268558735528	1235	130
EPB42	chr15	43220875	43221375	0.00209790887998704	0.00189834328575554	243	20
EPC1	chr10	32346968	32347468	0.817220560703543	0.801275343996212	567	131
EPC2	chr2	148644740	148645240	0.713080287205858	0.695090154454433	665	131
EPCAM	chr2	47368897	47369397	0.0275734420551862	0.0244892224233863	835	59
EPDR1	chr7	37920310	37920810	0.142055775834432	0.151410587987037	957	109
EPG5	chr18	45967089	45967589	0.588430618791296	0.600186820871558	1047	131
EPGN	chr4	74308219	74308719	0.00276188721272617	0.00162366551159789	556	28
EPHA1	chr7	143408642	143409142	0.0986318485160478	0.0940756352610593	739	87
EPHA1-AS1	chr7	143407562	143408062	0.168474877546968	0.168738336793116	929	105
EPHA10	chr1	37764902	37765402	-0.000195372329566126	-0.000214008982128696	99	4
EPHA2	chr1	16155859	16156359	0.163403456989174	0.135195811315724	809	112
EPHA3	chr3	89107273	89107773	0.184061993770079	0.178194791759149	892	86
EPHA4	chr2	221572108	221572608	0.283278715236299	0.249128420856958	669	108
EPHA5	chr4	65670245	65670745	0.181068623786803	0.184081247985048	605	73
EPHA5-AS1	chr4	65669710	65670210	0.121465104119582	0.127226079353997	485	58
EPHA6	chr3	97439342	97439842	2.8714605185844e-05	-9.7368474193908e-05	226	10
EPHA7	chr6	93419332	93419832	0.236218804033648	0.232890668431146	368	89
EPHA8	chr1	22563251	22563751	1.53821033518612e-05	2.28164703655952e-05	44	3
EPHB1	chr3	134795006	134795506	0.0376686217462425	0.0359853928909644	996	108
EPHB2	chr1	22710587	22711087	0.0209202312877517	0.0192691042140617	525	63
EPHB3	chr3	184561548	184562048	0.101916029792906	0.112003838664668	941	123
EPHB4	chr7	100827271	100827771	0.150568812365716	0.13517525618121	514	99
EPHB6	chr7	142862505	142863005	0.0121983172439796	0.0100160200024666	384	25
EPHX1	chr1	225825050	225825550	0.0620692758219596	0.0648898172092399	689	65
EPHX2	chr8	27490751	27491251	0.102243984352399	0.0917843691838321	917	113
EPHX3	chr19	15232170	15232670	0.00315529202605336	0.0021360648741911	209	21
EPHX4	chr1	92029725	92030225	0.064108960463822	0.0635242211305687	738	81
EPM2A	chr6	145735605	145736105	0.732206554440638	0.713503134244129	632	131
EPM2AIP1	chr3	36993054	36993554	0.822948266591506	0.821670045820206	241	131
EPN1	chr19	55674944	55675444	0.628133858400057	0.584842295572577	325	130
EPN2	chr17	19237126	19237626	0.0437857261445781	0.036658611380939	863	114
EPN2-AS1	chr17	19306011	19306511	0.0753608157946644	0.0725244200172752	601	83
EPN2-IT1	chr17	19271142	19271642	0.00689098774558819	0.00584517496447866	564	46
EPN3	chr17	50532436	50532936	0.045540169964512	0.0418788136641106	461	48
EPO	chr7	100720549	100721049	-0.000120022890254685	-0.00011884510626067	132	6
EPOP	chr17	38674684	38675184	0.213316230171713	0.200500398681041	608	112
EPOR	chr19	11384092	11384592	0.220705567930422	0.196608815615544	194	83
EPPIN	chr20	45547176	45547676	-0.000182771134836887	-0.000136891257956659	186	6
EPPIN-WFDC6	chr20	45547176	45547676	-0.000182771134836887	-0.000136891257956659	186	6
EPRS	chr1	220046408	220046908	0.697283161280399	0.704265296593305	1030	130
EPS15	chr1	51519073	51519573	0.387171545087892	0.362526569427927	777	129
EPS15L1	chr19	16471762	16472262	0.124978836773686	0.13256377613215	533	117
EPS8	chr12	15789326	15789826	0.540636385938367	0.530067755102299	868	126
EPS8L1	chr19	55080141	55080641	0.085786274691796	0.0881989663777683	399	97
EPS8L2	chr11	705869	706369	0.173536241861682	0.157990109202357	485	77
EPS8L3	chr1	109763772	109764272	0.0282849720752019	0.0285403420002203	474	64
EPSTI1	chr13	42992062	42992562	0.0937801055695687	0.077556885723078	1104	118
EPX	chr17	58192473	58192973	-0.000157945689902674	-0.000177520147210753	207	6
EPYC	chr12	91004776	91005276	NA	NA	21	1
EQTN	chr9	27296889	27297389	NA	NA	NA	NA
ERAL1	chr17	28854706	28855206	0.219271821028071	0.21367702439441	637	131
ERAP1	chr5	96807939	96808439	0.767300103014604	0.758800310337034	756	131
ERAP2	chr5	96875688	96876188	0.452336228568167	0.445322326955073	832	119
ERAS	chrX	48826262	48826762	-6.79261157710153e-05	-8.25031261200199e-05	85	2
ERBB2	chr17	39699727	39700227	0.0208062367685032	0.0152413862357455	546	68
ERBB3	chr12	56079774	56080274	0.147296689725599	0.138538579728462	231	96
ERBB4	chr2	212538378	212538878	0.0250503669693704	0.024111112013737	381	42
ERBIN	chr5	65926303	65926803	0.645816687323681	0.620542350147459	528	131
ERC1	chr12	990957	991457	0.655226813040855	0.64436581782061	977	131
ERC2	chr3	56468113	56468613	0.00875180016655676	0.00743214977421205	405	30
ERC2-IT1	chr3	55659219	55659719	0.000737933424366794	0.000347964398278364	506	20
ERCC1	chr19	45423669	45424169	0.305427361811152	0.29899932472286	375	131
ERCC2	chr19	45370337	45370837	0.115027547370454	0.10583432099808	344	117
ERCC3	chr2	127293844	127294344	0.389530352314287	0.390560477456758	1363	131
ERCC4	chr16	13919906	13920406	0.704136732048093	0.702525523749393	771	131
ERCC5	chr13	102845590	102846090	0.636204760004828	0.632441699101395	531	131
ERCC6	chr10	49538873	49539373	0.652063382603984	0.640044990263139	1109	131
ERCC6L	chrX	72238758	72239258	0.196685209170561	0.180133046173198	987	126
ERCC6L2	chr9	95875367	95875867	0.770656115736006	0.769952267163072	640	131
ERCC8	chr5	60944828	60945328	0.553372148492924	0.536073469713854	943	131
EREG	chr4	74364892	74365392	0.0739861878709786	0.0651137348637071	627	74
ERF	chr19	42254914	42255414	0.438893861294323	0.412106785509763	402	131
ERFE	chr2	238158757	238159257	0.0263442651755215	0.0250651289058696	649	63
ERG	chr21	38661530	38662030	0.0180808081811628	0.0180832435160082	821	73
ERGIC1	chr5	172833969	172834469	0.205632231832581	0.1901576205013	1008	131
ERGIC2	chr12	29380960	29381460	0.727420138568849	0.719501127214137	560	131
ERGIC3	chr20	35541778	35542278	0.164485714389743	0.168472783746123	453	127
ERH	chr14	69398054	69398554	0.828601860963186	0.841950902310902	651	131
ERI1	chr8	9002553	9003053	0.52979031765957	0.543303723299843	1354	131
ERI2	chr16	20806223	20806723	0.675629954679096	0.655380105640979	661	129
ERI3	chr1	44355029	44355529	0.143673130329366	0.124952266921477	736	117
ERI3-IT1	chr1	44244033	44244533	0.00184677305867495	0.00119501052457865	333	19
ERICH1	chr8	730989	731489	0.582209036163438	0.59699239675961	1495	128
ERICH1-AS1	chr8	737354	737854	NA	NA	48	1
ERICH2	chr2	170770431	170770931	0.378138717522327	0.367322344991156	945	119
ERICH3	chr1	74673488	74673988	0.0171023645060978	0.0139588056198466	460	33
ERICH3-AS1	chr1	74589484	74589984	-6.6700276638583e-05	-8.87143961727182e-05	113	5
ERICH4	chr19	41442907	41443407	0.0195727968291115	0.0224144029722844	172	26
ERICH5	chr8	98064271	98064771	0.00762021948599342	0.00672113459562905	274	44
ERICH6	chr3	150703721	150704221	0.48031410652356	0.471751323801583	852	130
ERICH6-AS1	chr3	150703724	150704224	0.512423478739477	0.50875712527319	850	130
ERICH6B	chr13	45615489	45615989	0.0267313411621315	0.0216972361916114	533	47
ERLEC1	chr2	53786680	53787180	0.608252875621632	0.599482892832397	955	131
ERLIN1	chr10	100185807	100186307	0.571456686335981	0.564738211592695	413	130
ERLIN2	chr8	37736328	37736828	0.593625877539488	0.595437001270321	1172	131
ERMAP	chr1	42825327	42825827	0.00581708634889106	0.00458034533719637	228	31
ERMARD	chr6	169751371	169751871	0.676809851005849	0.671084447341792	1073	131
ERMN	chr2	157325698	157326198	0.00585632700026564	0.0044332457851365	694	28
ERMP1	chr9	5832831	5833331	0.503947935556627	0.513005892086502	784	131
ERN1	chr17	64129892	64130392	0.454225346090179	0.438348341567541	908	130
ERN2	chr16	23713250	23713750	0.000212063075617407	0.000100423199645227	133	6
ERO1A	chr14	52695681	52696181	0.615361536939351	0.602728232131829	405	131
ERO1B	chr1	236281789	236282289	0.310307579033655	0.328141905448709	1132	130
ERP27	chr12	14938299	14938799	0.011999412566588	0.0109385351895348	380	32
ERP29	chr12	112013097	112013597	0.689186706842061	0.681531809700514	417	131
ERP44	chr9	100098802	100099302	0.680667994972804	0.673662189205062	473	131
ERRFI1	chr1	8026083	8026583	0.0884901607053875	0.0790129476652608	1071	124
ERV3-1	chr7	65006496	65006996	0.625877115194335	0.616076817280375	627	129
ERV3-1-ZNF117	chr7	65006496	65006996	0.625877115194335	0.616076817280375	627	129
ERVFRD-1	chr6	11111588	11112088	0.0179452628632388	0.0191958144938457	775	55
ERVH48-1	chr21	42925348	42925848	0.0173574724885232	0.0180830156933069	497	37
ERVK13-1	chr16	2673189	2673689	0.125594721520613	0.135290105619628	371	110
ERVK3-1	chr19	58305123	58305623	0.444537831980969	0.465907111412282	208	121
ERVMER34-1	chr4	52751390	52751890	0.124424363066932	0.130069248980449	616	73
ERVV-1	chr19	53013840	53014340	NA	NA	NA	NA
ERVV-2	chr19	53044487	53044987	0.000151143131186171	3.31955598622566e-05	125	12
ESAM	chr11	124762077	124762577	0.116226464483804	0.10573540590675	593	102
ESCO1	chr18	21600482	21600982	0.685081962348296	0.67256723066155	548	131
ESCO2	chr8	27774290	27774790	0.560089110036318	0.557035366671258	737	131
ESD	chr13	46796982	46797482	0.620354296807999	0.587271649890995	676	131
ESF1	chr20	13784636	13785136	0.752645519640057	0.748674020807409	696	131
ESM1	chr5	54985336	54985836	0.00306331935679614	0.00146005993252749	736	43
ESPL1	chr12	53268048	53268548	0.316444364366924	0.275816710075669	463	126
ESPN	chr1	6424537	6425037	0.00401096386321301	0.00330209761990201	334	32
ESPNL	chr2	238100059	238100559	0.0224777294167174	0.021835688223371	529	43
ESPNP	chr1	16719907	16720407	0.0107410926157161	0.00967770098899528	431	26
ESR1	chr6	151805422	151805922	0.00890372500767834	0.00799188940920256	705	35
ESR2	chr14	64282825	64283325	0.000243853874591072	8.77281809224819e-05	207	3
ESRG	chr3	54639607	54640107	NA	NA	NA	NA
ESRP1	chr8	94640885	94641385	0.0431392242125272	0.0324739881878698	292	48
ESRP2	chr16	68235983	68236483	0.202638126173666	0.186052125861494	438	87
ESRRA	chr11	64305277	64305777	0.391984911823981	0.360485601662788	263	131
ESRRB	chr14	76371096	76371596	-0.000165048486376559	-0.00022089091198672	55	3
ESRRG	chr1	216723222	216723722	0.0233810040106675	0.0182944949921672	724	50
ESX1	chrX	104254668	104255168	0.000152430942224166	0.00011660930172221	50	4
ESYT1	chr12	56127951	56128451	0.329510006243561	0.312085072153563	172	129
ESYT2	chr7	158829378	158829878	0.625316999456754	0.609832190198675	648	131
ESYT3	chr3	138434322	138434822	0.11182996283862	0.103753400916897	745	100
ETAA1	chr2	67397059	67397559	0.528383975050102	0.53233978785139	767	129
ETF1	chr5	138543050	138543550	0.636508220442884	0.621245851466424	450	131
ETFA	chr15	76311219	76311719	0.500941269811178	0.502795397603653	720	129
ETFB	chr19	51366168	51366668	0.435804747400027	0.424472718695002	392	130
ETFBKMT	chr12	31658936	31659436	0.686838900926758	0.69589280415091	997	131
ETFDH	chr4	158671850	158672350	0.687526570957474	0.690500225209288	844	131
ETFRF1	chr12	25194965	25195465	0.629963737949215	0.623106978393367	1029	131
ETHE1	chr19	43527006	43527506	0.304353922404569	0.293905503165015	273	125
ETNK1	chr12	22624891	22625391	0.655183222520885	0.654867101212153	615	131
ETNK2	chr1	204151932	204152432	0.0391172047279102	0.0301887316481295	911	103
ETNPPL	chr4	108762829	108763329	0.0107062999634793	0.0104879621852923	847	56
ETS1	chr11	128522060	128522560	0.535076027087447	0.545641976547026	1334	130
ETS2	chr21	38805580	38806080	0.495750151020774	0.502549659320654	1061	131
ETV1	chr7	13986264	13986764	0.0237511406184448	0.0163342254018574	282	28
ETV2	chr19	35641486	35641986	0.176534935684632	0.162121973749969	197	69
ETV3	chr1	157138135	157138635	0.469014857602997	0.491795118747719	501	128
ETV3L	chr1	157099558	157100058	0.0411452825275774	0.0399689878419026	195	42
ETV4	chr17	43545687	43546187	0.111846461664663	0.102078573413494	484	101
ETV5	chr3	186108862	186109362	0.37411389078281	0.379616318742866	709	130
ETV6	chr12	11649603	11650103	0.503103086383372	0.464193212238631	908	131
ETV7	chr6	36387550	36388050	0.108474938033542	0.109047385341	545	97
EVA1A	chr2	75569472	75569972	0.0025148106387673	0.00147326678941046	338	14
EVA1B	chr1	36323398	36323898	0.167653592685115	0.156922956436584	598	125
EVA1C	chr21	32412186	32412686	0.128258841673344	0.112649192643234	798	107
EVADR	chr6	70393951	70394451	0.00102858936082946	0.000570350296440515	209	11
EVC	chr4	5710946	5711446	0.0529986824346731	0.0482090937571371	715	98
EVC2	chr4	5708317	5708817	0.0361450435322687	0.0304728627368854	546	79
EVI2A	chr17	31321499	31321999	0.112554852116708	0.111565806810286	556	93
EVI2B	chr17	31313862	31314362	0.0965410478119806	0.0956170652696955	509	92
EVI5	chr1	92792154	92792654	0.0663252898475519	0.061978511124521	580	43
EVI5L	chr19	7830024	7830524	0.0771306989867772	0.0702625440621935	421	113
EVL	chr14	100065163	100065663	0.127927934697946	0.127824751016873	865	91
EVPL	chr17	76027202	76027702	0.0106858132104752	0.0113274136937204	288	37
EVPLL	chr17	18377514	18378014	0.0626041564105649	0.0669547773176478	453	57
EVX1	chr7	27242294	27242794	0.00224573643379224	0.00180253216476439	629	21
EVX1-AS	chr7	27246979	27247479	0.00130721021412651	0.00105518111528862	488	22
EVX2	chr2	176083712	176084212	0.00105552072913084	0.000673804897722719	434	14
EWSAT1	chr15	69080599	69081099	0.0167453693204103	0.0117404938420507	443	46
EWSR1	chr22	29267758	29268258	0.707855094983822	0.701449748973437	775	131
EXD1	chr15	41230507	41231007	0.815978157946726	0.82535531698889	419	131
EXD2	chr14	69191226	69191726	0.153772760198423	0.153109130193402	951	128
EXD3	chr9	137423012	137423512	0.165489390619326	0.169813433172723	677	117
EXO1	chr1	241848480	241848980	0.615574115195205	0.602258388271594	741	125
EXO5	chr1	40508468	40508968	0.106513175171319	0.109184400671347	500	100
EXOC1	chr4	55853399	55853899	0.664063296130425	0.681990713214169	953	130
EXOC2	chr6	692891	693391	0.59146362182763	0.592233114355009	1154	131
EXOC3	chr5	442968	443468	0.414917733953561	0.425324910086653	1602	130
EXOC3-AS1	chr5	442910	443410	0.414918079831101	0.425325257183197	1602	130
EXOC3L1	chr16	67189954	67190454	0.0372107756276892	0.0329275736513916	263	34
EXOC3L2	chr19	45233961	45234461	-0.000117391570832025	-0.00012070828086184	22	2
EXOC3L4	chr14	103099893	103100393	0.00425656578502236	0.00361787648481852	539	38
EXOC4	chr7	133252816	133253316	0.801755938141234	0.816406155368682	556	131
EXOC5	chr14	57268649	57269149	0.727567255360078	0.718397878777362	463	131
EXOC6	chr10	92848204	92848704	0.293994536878274	0.291263985990979	723	128
EXOC6B	chr2	72825792	72826292	0.320957112347373	0.302288599563139	619	126
EXOC7	chr17	76103537	76104037	0.0262035444674099	0.0257605164402992	609	97
EXOC8	chr1	231337622	231338122	0.693905611998799	0.678686877876836	534	131
EXOG	chr3	38496021	38496521	0.236464530976759	0.22946165571399	765	130
EXOSC1	chr10	97445767	97446267	0.329867736666089	0.321419427137317	456	131
EXOSC10	chr1	11099660	11100160	0.34005843414635	0.349493911962379	703	128
EXOSC2	chr9	130693509	130694009	0.326591435688843	0.326790423460007	687	131
EXOSC3	chr9	37784842	37785342	0.482553864588121	0.508028907854676	911	130
EXOSC4	chr8	144078368	144078868	0.40961184450316	0.405756318975982	661	131
EXOSC5	chr19	41397101	41397601	0.669133878965177	0.689507290876436	476	126
EXOSC6	chr16	70251680	70252180	0.442875201710757	0.449654505759153	443	130
EXOSC7	chr3	44975998	44976498	0.323995332844729	0.324175727466258	817	131
EXOSC8	chr13	37000290	37000790	0.74759221029224	0.740173196450958	278	131
EXOSC9	chr4	121801066	121801566	0.625643097913996	0.622556176708068	854	130
EXPH5	chr11	108537957	108538457	0.00598882774092756	0.00416749187216739	455	37
EXT1	chr8	118111569	118112069	0.443899395876496	0.439561331183933	1041	130
EXT2	chr11	44095298	44095798	0.0709483452366568	0.0660860895035487	1014	124
EXTL1	chr1	26021529	26022029	0.0353435606141812	0.0284875902401103	495	57
EXTL2	chr1	100894929	100895429	0.73047000612321	0.716200664975338	679	131
EXTL3	chr8	28701222	28701722	0.372707358072956	0.388455791015793	975	130
EXTL3-AS1	chr8	28701214	28701714	0.349764671410007	0.361255687286703	973	130
EYA1	chr8	71361982	71362482	0.055247767624942	0.0493519789241365	861	69
EYA2	chr20	46894373	46894873	0.000804182728914775	0.000561573339399986	231	18
EYA3	chr1	28088387	28088887	0.381267759806201	0.373837526106302	565	126
EYA4	chr6	133241106	133241606	0.0108603912736012	0.00826253570133627	689	44
EYS	chr6	65706975	65707475	0.000890244492803708	0.000903172728647623	180	10
EZH1	chr17	42744846	42745346	0.215028296750041	0.203714909615179	413	120
EZH2	chr7	148884099	148884599	0.561573042440972	0.550781962826798	536	131
EZR	chr6	158818058	158818558	0.382623288904069	0.365654023840056	1047	131
EZR-AS1	chr6	158817728	158818228	0.374181384883639	0.356325217808986	1047	131
F10	chr13	113122548	113123048	0.0246447836695096	0.0194474076688066	823	56
F10-AS1	chr13	113129796	113130296	0.0100040829713059	0.00855999193170868	514	35
F11	chr4	186265713	186266213	0.00161264944680468	0.000877835268762512	561	19
F11-AS1	chr4	186500808	186501308	8.36693322678086e-05	7.01043613229706e-05	305	11
F11R	chr1	161021093	161021593	0.228338565881233	0.214028963603018	615	127
F12	chr5	177409326	177409826	0.000429035136434137	0.000472290124806399	132	8
F13A1	chr6	6320441	6320941	0.0102735918494148	0.00781422447663314	603	49
F13B	chr1	197067017	197067517	-0.000196994583360052	-0.000138800510043841	279	8
F2	chr11	46718915	46719415	0.00354054255406997	0.00302553758074643	385	28
F2R	chr5	76715792	76716292	0.137147408267636	0.137013048154127	812	123
F2RL1	chr5	76818726	76819226	0.0828716972369924	0.0708521071388281	785	105
F2RL2	chr5	76623184	76623684	0.014497777552792	0.0101694695004582	742	54
F2RL3	chr19	16888609	16889109	0.0969602437321166	0.0916127620656583	368	79
F3	chr1	94541607	94542107	0.250241088740297	0.254302211621497	1486	120
F5	chr1	169586281	169586781	0.0479647694899723	0.0438138350100774	675	93
F7	chr13	113105537	113106037	0.0019809250075286	0.0012224938538115	446	21
F8	chrX	155022473	155022973	0.0104810507699424	0.0108280073534866	167	17
F9	chrX	139530485	139530985	0.00022891173531921	0.000258350169757294	61	3
FA2H	chr16	74774581	74775081	0.0241270794896599	0.0204829482166616	816	85
FAAH	chr1	46394016	46394516	0.0525732288419684	0.0468842993254307	496	90
FAAH2	chrX	57286426	57286926	0.116338129787627	0.0973696805610888	520	57
FAAHP1	chr1	46433576	46434076	0.000635675871283617	0.00077214468097724	51	7
FAAP100	chr17	81552153	81552653	0.23593241825357	0.225156076190477	639	129
FAAP20	chr1	2194525	2195025	0.401919569934953	0.40126503375371	681	131
FAAP24	chr19	32971966	32972466	0.696878836332045	0.71162747883025	657	131
FABP1	chr2	88127881	88128381	0.000447094916097695	0.000303485032779959	154	7
FABP12	chr8	81531140	81531640	-0.000117199807890392	-0.000108018162737473	200	6
FABP2	chr4	119321911	119322411	0.000255341463855066	0.000170258854945414	221	9
FABP3	chr1	31373038	31373538	0.0384903435098644	0.029756009387461	599	101
FABP4	chr8	81482988	81483488	0.00972040968689071	0.00907123776838145	630	35
FABP5	chr8	81280232	81280732	0.275470166786653	0.270968906116529	1495	126
FABP5P3	chr7	152436644	152437144	0.634168587872753	0.620494836344989	678	131
FABP6	chr5	160229179	160229679	0.00211523018262667	0.00189873705180606	238	17
FABP7	chr6	122779224	122779724	0.0126419531033892	0.0109840119939804	530	24
FABP9	chr8	81461273	81461773	-2.5326446814628e-05	-5.83292593169056e-05	203	3
FADD	chr11	70202912	70203412	0.520502354058086	0.518073731292729	615	131
FADS1	chr11	61816807	61817307	0.390116480720462	0.380020221914636	395	129
FADS2	chr11	61827782	61828282	0.185341370988513	0.182514034228191	423	121
FADS3	chr11	61891295	61891795	0.126021644735603	0.119543899600133	497	127
FADS6	chr17	74893561	74894061	0.000986906782972589	0.000780760058348515	140	12
FAF1	chr1	50960014	50960514	0.5507159586521	0.537678439613005	426	130
FAF2	chr5	176448104	176448604	0.72162099165831	0.724957847013332	408	131
FAH	chr15	80152640	80153140	0.379812031926398	0.345380052736154	606	130
FAHD1	chr16	1826973	1827473	0.330427799187769	0.344073760954401	399	118
FAHD2A	chr2	95402449	95402949	0.654696698746377	0.665949408741604	748	130
FAHD2B	chr2	97094632	97095132	0.000293481318661291	0.000187770807088284	378	29
FAHD2CP	chr2	96010300	96010800	0.0798573416290583	0.0801795762005312	698	95
FAIM	chr3	138608449	138608949	0.433806887429909	0.409125213511729	717	129
FAIM2	chr12	49903727	49904227	0.019135504471987	0.0151939731921414	456	69
FALEC	chr1	150515506	150516006	0.33355182576616	0.302663818080055	446	129
FAM102A	chr9	127950464	127950964	0.0441450465340922	0.0372414649708254	659	59
FAM102B	chr1	108560098	108560598	0.380469387707444	0.377021716062879	758	131
FAM103A1	chr15	82985952	82986452	0.683160618415754	0.674169273636187	654	131
FAM104A	chr17	73232144	73232644	0.534473816956235	0.555116217396406	829	131
FAM104B	chrX	55160945	55161445	0.789450196977456	0.789183145271652	518	131
FAM105A	chr5	14581531	14582031	0.191346064793655	0.183771660725959	1485	117
FAM106A	chr17	18526596	18527096	NA	NA	NA	NA
FAM106B	chr17	20416769	20417269	NA	NA	NA	NA
FAM106CP	chr17	16788492	16788992	NA	NA	NA	NA
FAM107A	chr3	58577514	58578014	0.0241668441551134	0.019052002370947	900	58
FAM107B	chr10	14571939	14572439	0.0700500220481826	0.0638083032687153	771	93
FAM109A	chr12	111368871	111369371	0.0749383737341188	0.071872870734156	686	130
FAM109B	chr22	42074000	42074500	0.231798745190155	0.210554160734231	181	85
FAM110A	chr20	833446	833946	0.602637057221181	0.60536641720169	828	131
FAM110B	chr8	57994303	57994803	0.144962458136141	0.138626586720122	982	103
FAM110C	chr2	46338	46838	0.0796157707829502	0.0683824211654704	751	54
FAM110D	chr1	26158769	26159269	0.017240368216775	0.0151964332821825	414	54
FAM111A	chr11	59142495	59142995	0.379288819102841	0.36227917073999	574	130
FAM111B	chr11	59106934	59107434	0.112007318378838	0.10122248901268	627	114
FAM114A1	chr4	38867482	38867982	0.195543395576312	0.186948803683658	964	119
FAM114A2	chr5	154038688	154039188	0.694281101422505	0.69020542084287	785	131
FAM117A	chr17	49763906	49764406	0.126175733137154	0.130156501263622	864	124
FAM117B	chr2	202634927	202635427	0.622120020884946	0.628128671259437	611	129
FAM118A	chr22	45309653	45310153	0.356846997577299	0.367670181184726	980	131
FAM118B	chr11	126211473	126211973	0.324176062283645	0.322885930617939	848	131
FAM120A	chr9	93451445	93451945	0.564194709131392	0.550541691547434	704	131
FAM120AOS	chr9	93451354	93451854	0.546185301860591	0.530549240425274	703	131
FAM120B	chr6	170306471	170306971	0.675026416923732	0.693302277324219	1163	131
FAM120C	chrX	54183031	54183531	0.61897083591248	0.607308584821567	557	131
FAM122A	chr9	68779755	68780255	0.672795116296087	0.66630209103481	904	131
FAM122B	chrX	134796105	134796605	0.234633741960038	0.232212011648372	517	93
FAM122C	chrX	134806942	134807442	0.583472651990306	0.579327891108038	705	131
FAM124A	chr13	51222083	51222583	0.0286374977352007	0.0290300481719978	975	90
FAM124B	chr2	224401744	224402244	0.0831881325926169	0.0768192056464542	1162	98
FAM126A	chr7	23013901	23014401	0.617498487173647	0.636707392478472	935	131
FAM126B	chr2	201071421	201071921	0.494115265021797	0.496309484002802	587	131
FAM127A	chrX	135032052	135032552	0.553829999667709	0.54900742711552	608	123
FAM127B	chrX	135051941	135052441	0.615965267329577	0.623244737826613	586	126
FAM127C	chrX	135022286	135022786	0.219455872538324	0.21566105373689	520	105
FAM129A	chr1	184974336	184974836	0.246617251257133	0.251186508904451	998	122
FAM129B	chr9	127568867	127569367	0.20702629223565	0.202937265798723	556	128
FAM129C	chr19	17523050	17523550	0.0297185749313295	0.0278168264173479	317	78
FAM131A	chr3	184337237	184337737	0.390537932749855	0.365380611252692	481	129
FAM131B	chr7	143362497	143362997	0.0809844545688277	0.0800787475239396	630	59
FAM131C	chr1	16073382	16073882	0.0467323333567576	0.04101236625756	616	58
FAM133A	chrX	93673762	93674262	0.366086792430531	0.375294741961498	545	86
FAM133B	chr7	92590144	92590644	0.754237719226121	0.743931584979012	915	131
FAM133CP	chr10	58714764	58715264	0.000866258119990722	0.000604680884531289	254	11
FAM133DP	chr7	92590132	92590632	0.749448523942853	0.739075835701036	916	131
FAM134A	chr2	219177939	219178439	0.632665494501536	0.615717334554606	436	131
FAM134B	chr5	16508748	16509248	0.0928721413901368	0.0844131831231589	1268	103
FAM134C	chr17	42609177	42609677	0.687157487174344	0.685480821237732	388	131
FAM135A	chr6	70413153	70413653	0.640722905569952	0.636272005272148	585	130
FAM135B	chr8	138496572	138497072	3.84358931806663e-05	-1.57300724696779e-05	139	10
FAM136A	chr2	70301838	70302338	0.659058508514833	0.646378901776539	426	131
FAM138A	chr1	35831	36331	NA	NA	NA	NA
FAM138B	chr2	113577131	113577631	NA	NA	NA	NA
FAM138C	chr9	35614	36114	NA	NA	NA	NA
FAM138D	chr12	37883	38383	NA	NA	NA	NA
FAM138E	chr15	101954634	101955134	NA	NA	NA	NA
FAM138F	chr1	35831	36331	NA	NA	NA	NA
FAM13A	chr4	88823111	88823611	0.74920842281109	0.741779396486443	1152	131
FAM13A-AS1	chr4	88709538	88710038	-0.000123970514596876	-0.000107525076739723	288	7
FAM13B	chr5	138032863	138033363	0.818701109767021	0.813117606806351	373	131
FAM13C	chr10	59362344	59362844	0.0387401670552233	0.0317741229589529	948	68
FAM149A	chr4	186144590	186145090	0.0220630210794773	0.0168638781107548	1074	68
FAM149B1	chr10	73167868	73168368	0.593293405307123	0.595635071872963	542	131
FAM151A	chr1	54623277	54623777	0.00227651389782952	0.00237035858412538	325	17
FAM151B	chr5	80487730	80488230	0.500053906676255	0.496446700499476	951	125
FAM153A	chr5	177780254	177780754	NA	NA	NA	NA
FAM153B	chr5	176063458	176063958	NA	NA	NA	NA
FAM153C	chr5	178006715	178007215	-2.71076505919576e-05	-3.46236745408454e-05	89	4
FAM155A	chr13	107866862	107867362	0.00391488524308507	0.00302658450193343	683	30
FAM155A-IT1	chr13	107835208	107835708	0.00386209968935834	0.00229877600543513	706	39
FAM155B	chrX	69504984	69505484	0.000851355497460479	0.000821293338907056	277	7
FAM157A	chr3	198152115	198152615	-7.43823286226024e-05	-6.90994438901816e-05	17	2
FAM157B	chr9	138215936	138216436	NA	NA	NA	NA
FAM157C	chr16	90102013	90102513	0.00216830404587786	0.00255101247492332	95	9
FAM159A	chr1	52633093	52633593	0.0704672152571	0.0638968225400131	406	72
